country,column,class,n_missing,pct_missing
Cameroon,start,Date,0,0
Cameroon,end,Date,0,0
Cameroon,Intro_07,factor,0,0
Cameroon,Intro_03a_NUTS1,"haven_labelled, vctrs_vctr, double",0,0
Cameroon,Intro_03b_NUTS2,"haven_labelled, vctrs_vctr, double",0,0
Cameroon,Intro_03c_NUTS3,"haven_labelled, vctrs_vctr, double",0,0
Cameroon,age_selected,numeric,6,0.13
Cameroon,HH_02_RA,factor,0,0
Cameroon,disability_RA,factor,6,0.13
Cameroon,COO_RA,character,6,0.13
Cameroon,Intro_09,factor,0,0
Cameroon,uuid,character,0,0
Cameroon,wgh_strata_spec_resp,numeric,0,0
Cameroon,wgh_samp_pop_restr_resp,numeric,0,0
Cameroon,wgh_inout_spec_resp,numeric,0,0
Cameroon,samp_strat,factor,0,0
Cameroon,inout_strat,factor,0,0
Cameroon,rosterposition,character,0,0
Cameroon,ID_VAR_randomadult,character,0,0
Cameroon,signature_RM,character,0,0
Cameroon,RM_consent,"haven_labelled, vctrs_vctr, double",0,0
Cameroon,W01_1,numeric,0,0
Cameroon,W01_2,numeric,0,0
Cameroon,W02_1,numeric,0,0
Cameroon,W02_2,numeric,0,0
Cameroon,W02_3,numeric,0,0
Cameroon,W02_4,numeric,0,0
Cameroon,W02_5,numeric,0,0
Cameroon,W02_6,numeric,0,0
Cameroon,W02_7a,numeric,0,0
Cameroon,W02_8,numeric,722,16.01
Cameroon,W02_9,numeric,0,0
Cameroon,W02_10,numeric,0,0
Cameroon,W02_11,numeric,0,0
Cameroon,W04_1,"haven_labelled, vctrs_vctr, double",0,0
Cameroon,W04_2,"haven_labelled, vctrs_vctr, double",0,0
Cameroon,W04_3,"haven_labelled, vctrs_vctr, double",0,0
Cameroon,W04_5,"haven_labelled, vctrs_vctr, double",0,0
Cameroon,W04_6,"haven_labelled, vctrs_vctr, double",0,0
Cameroon,W04_7,"haven_labelled, vctrs_vctr, double",0,0
Cameroon,W04_8,"haven_labelled, vctrs_vctr, double",0,0
Cameroon,W4_4,"haven_labelled, vctrs_vctr, double",2228,49.4
Cameroon,ASP_08a,"haven_labelled, vctrs_vctr, double",0,0
Cameroon,ASP_08,"haven_labelled, vctrs_vctr, double",2078,46.08
Cameroon,ASP_08_other,character,0,0
Cameroon,ASP_10,"haven_labelled, vctrs_vctr, double",1533,33.99
Cameroon,ASP_11,character,0,0
Cameroon,ID_00RA,"haven_labelled, vctrs_vctr, double",2755,61.09
Cameroon,ID_00_specifyRA,character,0,0
Cameroon,ID_01aRA,"haven_labelled, vctrs_vctr, double",3766,83.5
Cameroon,ID_01a_2RA,"haven_labelled, vctrs_vctr, double",3782,83.86
Cameroon,ID_01bRA,"haven_labelled, vctrs_vctr, double",3533,78.34
Cameroon,ID_01b_2RA,"haven_labelled, vctrs_vctr, double",4435,98.34
Cameroon,ID_02RA,"haven_labelled, vctrs_vctr, double",3525,78.16
Cameroon,ID_03RA,"haven_labelled, vctrs_vctr, double",3537,78.43
Cameroon,ID_04RA,"haven_labelled, vctrs_vctr, double",4508,99.96
Cameroon,ID_05RA,"haven_labelled, vctrs_vctr, double",3911,86.72
Cameroon,ID_06RA,"haven_labelled, vctrs_vctr, double",4507,99.93
Cameroon,ID_06bRA,"haven_labelled, vctrs_vctr, double",3914,86.78
Cameroon,ID_06b_specifyRA,character,0,0
Cameroon,ID_07RA,"haven_labelled, vctrs_vctr, double",3499,77.58
Cameroon,ID_08RA,"haven_labelled, vctrs_vctr, double",3709,82.24
Cameroon,ID_08_specifyRA,character,0,0
Cameroon,ID_09RA,"haven_labelled, vctrs_vctr, double",3499,77.58
Cameroon,ID_09_specifyRA,character,0,0
Cameroon,ID_10RA,"haven_labelled, vctrs_vctr, double",3537,78.43
Cameroon,ID_11RA,"haven_labelled, vctrs_vctr, double",3740,82.93
Cameroon,ID_11_pictureRA,character,0,0
Cameroon,H01,"haven_labelled, vctrs_vctr, double",0,0
Cameroon,H01a,"haven_labelled, vctrs_vctr, double",0,0
Cameroon,H01_1,"haven_labelled, vctrs_vctr, double",0,0
Cameroon,H02,character,0,0
Cameroon,H02A,numeric,3508,77.78
Cameroon,H02B,numeric,3508,77.78
Cameroon,H02C,numeric,3508,77.78
Cameroon,H02D,numeric,3508,77.78
Cameroon,H02E,numeric,3508,77.78
Cameroon,H02F,numeric,3508,77.78
Cameroon,H02G,numeric,3508,77.78
Cameroon,H02OT,numeric,3508,77.78
Cameroon,H02_specify,character,0,0
Cameroon,H04,"haven_labelled, vctrs_vctr, double",3508,77.78
Cameroon,H06,"haven_labelled, vctrs_vctr, double",3943,87.43
Cameroon,H11,"haven_labelled, vctrs_vctr, double",3943,87.43
Cameroon,H11_specify,character,0,0
Cameroon,H11a,"haven_labelled, vctrs_vctr, double",4493,99.62
Cameroon,H11a_specify,character,0,0
Cameroon,H15,"haven_labelled, vctrs_vctr, double",4014,89
Cameroon,H15d,"haven_labelled, vctrs_vctr, double",3943,87.43
Cameroon,H15d_1,"haven_labelled, vctrs_vctr, double",4167,92.39
Cameroon,H15d_2,character,0,0
Cameroon,H15d_3,"haven_labelled, vctrs_vctr, double",4318,95.74
Cameroon,H16,character,0,0
Cameroon,H16A,numeric,4485,99.45
Cameroon,H16B,numeric,4485,99.45
Cameroon,H16C,numeric,4485,99.45
Cameroon,H16D,numeric,4485,99.45
Cameroon,H16E,numeric,4485,99.45
Cameroon,H16F,numeric,4485,99.45
Cameroon,H16G,numeric,4485,99.45
Cameroon,H16H,numeric,4485,99.45
Cameroon,H16I,numeric,4485,99.45
Cameroon,H16OT,numeric,4485,99.45
Cameroon,H16DK,numeric,4485,99.45
Cameroon,H16_specify,character,0,0
Cameroon,H16_k_specify,numeric,4510,100
Cameroon,H16a1,numeric,4439,98.43
Cameroon,H16a2,numeric,4485,99.45
Cameroon,H17,"haven_labelled, vctrs_vctr, double",4485,99.45
Cameroon,H17_specify,character,0,0
Cameroon,H17_3,"haven_labelled, vctrs_vctr, double",4508,99.96
Cameroon,H17_3_specify,character,0,0
Cameroon,H21,numeric,4485,99.45
Cameroon,H21_1,numeric,4497,99.71
Cameroon,H21_2,numeric,4501,99.8
Cameroon,H21_3,numeric,4501,99.8
Cameroon,H22,"haven_labelled, vctrs_vctr, double",4014,89
Cameroon,H28,"haven_labelled, vctrs_vctr, double",0,0
Cameroon,IN1,"haven_labelled, vctrs_vctr, double",0,0
Cameroon,IN2,"haven_labelled, vctrs_vctr, double",4377,97.05
Cameroon,IN3,character,0,0
Cameroon,MovFree01b,"haven_labelled, vctrs_vctr, double",1533,33.99
Cameroon,MovFree01a,"haven_labelled, vctrs_vctr, double",1533,33.99
Cameroon,MovFree02,"haven_labelled, vctrs_vctr, double",2760,61.2
Cameroon,Mob01a,"haven_labelled, vctrs_vctr, double",0,0
Cameroon,Mob01b,numeric,3663,81.22
Cameroon,Mob02,character,0,0
Cameroon,Mob02_camp_other,character,0,0
Cameroon,Mob02_village_other,character,0,0
Cameroon,Mob02_city_other,character,0,0
Cameroon,Mob02_other,character,0,0
Cameroon,Mob03a,character,0,0
Cameroon,Mob03a_other,character,0,0
Cameroon,Mob03b,"haven_labelled, vctrs_vctr, double",2027,44.94
Cameroon,Mob04a,"haven_labelled, vctrs_vctr, double",0,0
Cameroon,Mob04b,numeric,4440,98.45
Cameroon,Mob05,character,0,0
Cameroon,Mob06a,character,0,0
Cameroon,Mob06a_other,character,0,0
Cameroon,Mob06b,"haven_labelled, vctrs_vctr, double",70,1.55
Cameroon,Res01,"haven_labelled, vctrs_vctr, double",1533,33.99
Cameroon,Res02,"haven_labelled, vctrs_vctr, double",1533,33.99
Cameroon,DH_06,"haven_labelled, vctrs_vctr, double",1609,35.68
Cameroon,DH_01_year,numeric,4378,97.07
Cameroon,DH_01_month,numeric,4378,97.07
Cameroon,DH_02,"haven_labelled, vctrs_vctr, double",1609,35.68
Cameroon,DH_04,"haven_labelled, vctrs_vctr, double",3053,67.69
Cameroon,DH_05_year,numeric,4331,96.03
Cameroon,DH_05_month,numeric,4331,96.03
Cameroon,DH_09,character,0,0
Cameroon,DH_10_NUTS1,character,0,0
Cameroon,DH_10_NUTS2,character,0,0
Cameroon,DH_10_NUTS4,character,0,0
Cameroon,DH_11_year,numeric,1609,35.68
Cameroon,DH_11_month,numeric,1609,35.68
Cameroon,DH_12,"haven_labelled, vctrs_vctr, double",1609,35.68
Cameroon,DH_12_Other,character,0,0
Cameroon,DH_13,"haven_labelled, vctrs_vctr, double",1609,35.68
Cameroon,DH_14,"haven_labelled, vctrs_vctr, double",3903,86.54
Cameroon,DH_17,"haven_labelled, vctrs_vctr, double",1609,35.68
Cameroon,DH_19,character,0,0
Cameroon,DH_20,"haven_labelled, vctrs_vctr, double",1609,35.68
Cameroon,DH_20_other,character,0,0
Cameroon,DH_21a,"haven_labelled, vctrs_vctr, double",1609,35.68
Cameroon,DH_21b_NUTS1,"haven_labelled, vctrs_vctr, double",4153,92.08
Cameroon,DH_21b_NUTS2,"haven_labelled, vctrs_vctr, double",4153,92.08
Cameroon,DH_21b_NUTS3,"haven_labelled, vctrs_vctr, double",4153,92.08
Cameroon,DH_21b_NUTS4,numeric,4197,93.06
Cameroon,DH_23,"haven_labelled, vctrs_vctr, double",1609,35.68
Cameroon,DH_23_other,character,0,0
Cameroon,DH_31a,"haven_labelled, vctrs_vctr, double",1609,35.68
Cameroon,DH_31b,"haven_labelled, vctrs_vctr, double",1824,40.44
Cameroon,DH_31c,"haven_labelled, vctrs_vctr, double",1892,41.95
Cameroon,DH_32,"haven_labelled, vctrs_vctr, double",1609,35.68
Cameroon,DH_32_other,character,0,0
Cameroon,DH_IDP_01_NUTS1,"haven_labelled, vctrs_vctr, double",4504,99.87
Cameroon,DH_IDP_01_NUTS2,"haven_labelled, vctrs_vctr, double",4504,99.87
Cameroon,DH_IDP_01_NUTS3,"haven_labelled, vctrs_vctr, double",4504,99.87
Cameroon,DH_IDP_03_year,numeric,4504,99.87
Cameroon,DH_IDP_03_month,numeric,4504,99.87
Cameroon,DH_IDP_04_year,numeric,4504,99.87
Cameroon,DH_IDP_04_month,numeric,4504,99.87
Cameroon,DH_IDP_05,"haven_labelled, vctrs_vctr, double",4504,99.87
Cameroon,DH_IDP_05_Other,numeric,4510,100
Cameroon,DH_IDP_06_NUTS1,numeric,4510,100
Cameroon,DH_IDP_06_NUTS2,numeric,4510,100
Cameroon,DH_IDP_06_NUTS3,numeric,4510,100
Cameroon,DH_IDP_09,"haven_labelled, vctrs_vctr, double",4506,99.91
Cameroon,DH_IDP_09_other,numeric,4510,100
Cameroon,DH_IDP_10,"haven_labelled, vctrs_vctr, double",4506,99.91
Cameroon,DH_IDP_13_year,numeric,4510,100
Cameroon,DH_IDP_13_month,numeric,4510,100
Cameroon,DH_IDP_14,"haven_labelled, vctrs_vctr, double",4510,100
Cameroon,DH_IDP_14_other,numeric,4510,100
Cameroon,DH_IDP_14a,"haven_labelled, vctrs_vctr, double",4506,99.91
Cameroon,DH_IDP_14b,character,0,0
