country,std_name,raw_name,value,n,pct,note
Cameroon,sex,HH_02_RA,Female,2714,60.18,
Cameroon,sex,HH_02_RA,Male,1796,39.82,
Cameroon,employed,employed,0,3289,72.93,
Cameroon,employed,employed,1,1221,27.07,
Cameroon,unemployed,unemployed,0,4113,91.2,
Cameroon,unemployed,unemployed,1,397,8.8,
Cameroon,emp_type,EMP30,1,111,2.46,
Cameroon,emp_type,EMP30,2,1277,28.31,
Cameroon,emp_type,EMP30,3,81,1.8,
Cameroon,emp_type,EMP30,4,141,3.13,
Cameroon,emp_type,EMP30,5,1300,28.82,
Cameroon,emp_type,EMP30,6,86,1.91,
Cameroon,emp_type,EMP30,96,464,10.29,
Cameroon,emp_type,EMP30,NA,1050,23.28,
Cameroon,emp_want,EMP27,1,2045,45.34,
Cameroon,emp_want,EMP27,2,1415,31.37,
Cameroon,emp_want,EMP27,NA,1050,23.28,
Cameroon,right_to_work,JobLegal1,1,809,17.94,
Cameroon,right_to_work,JobLegal1,2,1509,33.46,
Cameroon,right_to_work,JobLegal1,98,659,14.61,
Cameroon,right_to_work,JobLegal1,NA,1533,33.99,
Cameroon,has_phone,Skills38a,1,2362,52.37,
Cameroon,has_phone,Skills38a,2,2142,47.49,
Cameroon,has_phone,Skills38a,99,6,0.13,
Cameroon,used_computer,Skills39,1,60,1.33,
Cameroon,used_computer,Skills39,2,4427,98.16,
Cameroon,used_computer,Skills39,99,23,0.51,
Cameroon,disability,disability_RA,Disabled,4278,94.86,
Cameroon,disability,disability_RA,Non-Disabled,226,5.01,
Cameroon,disability,disability_RA,NA,6,0.13,
Cameroon,educ_level,HH_Educ18,NA,NA,NA,COLUMN_NOT_FOUND
Cameroon,pop_group,Intro_07,Host Community,1561,34.61,
Cameroon,pop_group,Intro_07,Refugees,2949,65.39,
Pakistan,sex,HH_02_RA,Female,2569,51.2,
Pakistan,sex,HH_02_RA,Male,2449,48.8,
Pakistan,employed,employed,0,3438,68.51,
Pakistan,employed,employed,1,1580,31.49,
Pakistan,unemployed,unemployed,0,4765,94.96,
Pakistan,unemployed,unemployed,1,253,5.04,
Pakistan,emp_type,EMP30,1,292,5.82,
Pakistan,emp_type,EMP30,2,2408,47.99,
Pakistan,emp_type,EMP30,3,18,0.36,
Pakistan,emp_type,EMP30,4,295,5.88,
Pakistan,emp_type,EMP30,5,73,1.45,
Pakistan,emp_type,EMP30,6,60,1.2,
Pakistan,emp_type,EMP30,96,259,5.16,
Pakistan,emp_type,EMP30,NA,1613,32.14,
Pakistan,emp_want,EMP27,1,630,12.55,
Pakistan,emp_want,EMP27,2,2775,55.3,
Pakistan,emp_want,EMP27,NA,1613,32.14,
Pakistan,right_to_work,JobLegal1,1,999,19.91,
Pakistan,right_to_work,JobLegal1,2,2356,46.95,
Pakistan,right_to_work,JobLegal1,98,160,3.19,
Pakistan,right_to_work,JobLegal1,99,3,0.06,
Pakistan,right_to_work,JobLegal1,NA,1500,29.89,
Pakistan,has_phone,Skills38a,1,1968,39.22,
Pakistan,has_phone,Skills38a,2,3030,60.38,
Pakistan,has_phone,Skills38a,98,15,0.3,
Pakistan,has_phone,Skills38a,99,5,0.1,
Pakistan,used_computer,Skills39,1,112,2.23,
Pakistan,used_computer,Skills39,2,4865,96.95,
Pakistan,used_computer,Skills39,98,31,0.62,
Pakistan,used_computer,Skills39,99,10,0.2,
Pakistan,disability,disability_RA,Disabled,308,6.14,
Pakistan,disability,disability_RA,Non-Disabled,4710,93.86,
Pakistan,educ_level,HH_Educ18,NA,NA,NA,COLUMN_NOT_FOUND
Pakistan,pop_group,Intro_07,Host community,1499,29.87,
Pakistan,pop_group,Intro_07,Refugees,3519,70.13,
Zambia,sex,HH_02_RA,Female,2282,52.95,
Zambia,sex,HH_02_RA,Male,2028,47.05,
Zambia,employed,employed,0,2709,62.85,
Zambia,employed,employed,1,1601,37.15,
Zambia,unemployed,unemployed,0,3378,78.38,
Zambia,unemployed,unemployed,1,560,12.99,
Zambia,unemployed,unemployed,NA,372,8.63,
Zambia,emp_type,EMP30,1,321,7.45,
Zambia,emp_type,EMP30,2,729,16.91,
Zambia,emp_type,EMP30,3,52,1.21,
Zambia,emp_type,EMP30,4,168,3.9,
Zambia,emp_type,EMP30,5,545,12.65,
Zambia,emp_type,EMP30,6,83,1.93,
Zambia,emp_type,EMP30,96,970,22.51,
Zambia,emp_type,EMP30,NA,1442,33.46,
Zambia,emp_want,EMP27,1,1885,43.74,
Zambia,emp_want,EMP27,2,983,22.81,
Zambia,emp_want,EMP27,NA,1442,33.46,
Zambia,right_to_work,JobLegal1,1,635,14.73,
Zambia,right_to_work,JobLegal1,2,2226,51.65,
Zambia,right_to_work,JobLegal1,98,232,5.38,
Zambia,right_to_work,JobLegal1,99,2,0.05,
Zambia,right_to_work,JobLegal1,NA,1215,28.19,
Zambia,has_phone,Skills38a,1,2594,60.19,
Zambia,has_phone,Skills38a,2,1710,39.68,
Zambia,has_phone,Skills38a,99,6,0.14,
Zambia,used_computer,Skills39,NA,NA,NA,COLUMN_NOT_FOUND
Zambia,disability,disability_RA,Disabled,455,10.56,
Zambia,disability,disability_RA,Non-Disabled,3852,89.37,
Zambia,disability,disability_RA,NA,3,0.07,
Zambia,educ_level,HH_Educ18,NA,NA,NA,COLUMN_NOT_FOUND
Zambia,pop_group,Intro_07,Former Refugees,722,16.75,
Zambia,pop_group,Intro_07,Host Community,1215,28.19,
Zambia,pop_group,Intro_07,Refugees,2373,55.06,
